"filename", "language", "JavaScript", "CSS", "SCSS", "HTML", "XML", "comment", "blank", "total"
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/LaCarne.js", "JavaScript", 98, 0, 0, 0, 0, 0, 4, 102
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Pasta.js", "JavaScript", 98, 0, 0, 0, 0, 0, 4, 102
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Pizze.js", "JavaScript", 115, 0, 0, 0, 0, 0, 4, 119
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Tagliate.js", "JavaScript", 99, 0, 0, 0, 0, 0, 3, 102
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Vins.js", "JavaScript", 126, 0, 0, 0, 0, 0, 4, 130
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/Main.js", "JavaScript", 47, 0, 0, 0, 0, 0, 3, 50
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/PostTypeSelector/PostTypeSelector.js", "JavaScript", 87, 0, 0, 0, 0, 0, 4, 91
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/PostTypeSelector/posttypeselector.scss", "SCSS", 0, 0, 3, 0, 0, 0, 1, 4
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Title/Title.js", "JavaScript", 18, 0, 0, 0, 0, 0, 4, 22
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Title/title.scss", "SCSS", 0, 0, 3, 0, 0, 0, 1, 4
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/categories.js", "JavaScript", 35, 0, 0, 0, 0, 0, 2, 37
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/messages.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/posttypes.js", "JavaScript", 42, 0, 0, 0, 0, 1, 2, 45
"/var/www/html/admin-tdo-V3-ReactRedux/src/index.js", "JavaScript", 16, 0, 0, 0, 0, 4, 3, 23
"/var/www/html/admin-tdo-V3-ReactRedux/src/store/reducer.js", "JavaScript", 333, 0, 0, 0, 0, 2, 16, 351
"/var/www/html/admin-tdo-V3-ReactRedux/src/store/store.js", "JavaScript", 23, 0, 0, 0, 0, 0, 4, 27
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/_reset.css", "CSS", 0, 147, 0, 0, 0, 3, 10, 160
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/_vars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/index.scss", "SCSS", 0, 0, 5, 0, 0, 11, 3, 19
"/var/www/html/admin-tdo-V3-ReactRedux/src/utils/utils.js", "JavaScript", 30, 0, 0, 0, 0, 9, 6, 45
"Total", "-", 3245, 155, 24, 12, 7, 79, 316, 3838
