"filename", "language", "SCSS", "CSS", "JavaScript", "HTML", "XML", "comment", "blank", "total"
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Pizze.js", "JavaScript", 0, 0, 101, 0, 0, 0, 4, 105
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Tagliate.js", "JavaScript", 0, 0, 87, 0, 0, 0, 3, 90
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/FoodList/Vins.js", "JavaScript", 0, 0, 116, 0, 0, 0, 4, 120
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Main/Main.js", "JavaScript", 0, 0, 47, 0, 0, 0, 3, 50
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/PostTypeSelector/PostTypeSelector.js", "JavaScript", 0, 0, 73, 0, 0, 0, 4, 77
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Title/Title.js", "JavaScript", 0, 0, 18, 0, 0, 0, 4, 22
"/var/www/html/admin-tdo-V3-ReactRedux/src/components/Title/title.scss", "SCSS", 3, 0, 0, 0, 0, 0, 1, 4
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/categories.js", "JavaScript", 0, 0, 35, 0, 0, 0, 2, 37
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/messages.js", "JavaScript", 0, 0, 16, 0, 0, 0, 3, 19
"/var/www/html/admin-tdo-V3-ReactRedux/src/datas/posttypes.js", "JavaScript", 0, 0, 42, 0, 0, 1, 2, 45
"/var/www/html/admin-tdo-V3-ReactRedux/src/index.js", "JavaScript", 0, 0, 16, 0, 0, 4, 3, 23
"/var/www/html/admin-tdo-V3-ReactRedux/src/store/reducer.js", "JavaScript", 0, 0, 287, 0, 0, 2, 14, 303
"/var/www/html/admin-tdo-V3-ReactRedux/src/store/store.js", "JavaScript", 0, 0, 21, 0, 0, 0, 4, 25
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/_reset.css", "CSS", 0, 147, 0, 0, 0, 3, 10, 160
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/_vars.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"/var/www/html/admin-tdo-V3-ReactRedux/src/styles/index.scss", "SCSS", 5, 0, 0, 0, 0, 11, 3, 19
"/var/www/html/admin-tdo-V3-ReactRedux/src/utils/utils.js", "JavaScript", 0, 0, 30, 0, 0, 5, 5, 40
"Total", "-", 20, 155, 2985, 12, 7, 64, 285, 3528
